model,split_type,use_coords,species,candidate,fold,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_no_coords,random,False,Cacophis kreftii,1,1,0.0001,"(8,)",0.01,103,3,0.09094895615430645,0.9466666666666667,0.3492063492063492,0.025376608098519538,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,1,2,0.0001,"(8,)",0.01,103,3,0.10571908251009605,0.8833333333333333,0.15170336909467344,0.029926180394089615,0.0,0.0,0.99
MLP_single_no_coords,random,False,Cacophis kreftii,1,3,0.0001,"(8,)",0.01,102,3,0.17227179689061672,0.7811447811447811,0.08086917562724014,0.03678429603523396,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,1,4,0.0001,"(8,)",0.01,103,4,0.14429848630941344,0.8964646464646464,0.2603365384615385,0.036522304857562554,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,1,5,0.0001,"(8,)",0.01,102,3,0.07926052239346319,0.9427609427609428,0.25757575757575757,0.024317443651876835,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,2,1,0.0001,"(8,)",0.001,103,3,0.09569979248198758,0.9233333333333332,0.24707602339181284,0.02537359750083057,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,2,2,0.0001,"(8,)",0.001,103,3,0.10322649467549994,0.8833333333333334,0.25181159420289856,0.02665680773262238,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,2,3,0.0001,"(8,)",0.001,102,3,0.15175514273551827,0.6599326599326599,0.07502768549280177,0.03186079834458498,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,2,4,0.0001,"(8,)",0.001,103,4,0.1467287506314123,0.8333333333333334,0.15524509803921568,0.03662140860976809,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,2,5,0.0001,"(8,)",0.001,102,3,0.11050810854607697,0.8922558922558922,0.16378066378066378,0.02968571092983126,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,3,1,0.0001,"(16,)",0.01,103,3,0.09924564298883298,0.9266666666666666,0.4588235294117647,0.02505730301836429,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,3,2,0.0001,"(16,)",0.01,103,3,0.1458764603217195,0.8466666666666668,0.13763687293099058,0.03731879255898959,0.0,0.0,0.97
MLP_single_no_coords,random,False,Cacophis kreftii,3,3,0.0001,"(16,)",0.01,102,3,0.1605427892633678,0.7575757575757576,0.07692307692307693,0.03626916266515384,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,3,4,0.0001,"(16,)",0.01,103,4,0.13686720655333154,0.8636363636363635,0.23958333333333331,0.0370124396928059,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,3,5,0.0001,"(16,)",0.01,102,3,0.09192851333359649,0.9292929292929293,0.2285714285714286,0.026917775862324814,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,4,1,0.0001,"(16,)",0.001,103,3,0.11203000794458295,0.84,0.16520467836257308,0.027122356534272966,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,4,2,0.0001,"(16,)",0.001,103,3,0.10981679237943397,0.8333333333333334,0.17325581395348838,0.027100111574139697,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,4,3,0.0001,"(16,)",0.001,102,3,0.14776784254370243,0.6195286195286196,0.05055513179082973,0.032313105994724124,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,4,4,0.0001,"(16,)",0.001,103,4,0.12255730243265307,0.9116161616161615,0.2174145299145299,0.034043447266902234,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,4,5,0.0001,"(16,)",0.001,102,3,0.10653631240933105,0.9090909090909091,0.18461538461538463,0.0269181095988215,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,5,1,0.0001,"(32,)",0.01,103,3,0.08626631776721874,0.94,0.3214285714285714,0.024711860642809884,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,5,2,0.0001,"(32,)",0.01,103,3,0.11953305312998319,0.8366666666666667,0.10712250712250712,0.029454853359947,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,5,3,0.0001,"(32,)",0.01,102,3,0.17040535722173503,0.7407407407407407,0.06996658312447786,0.037433474730707614,0.0,0.0,0.98989898989899
MLP_single_no_coords,random,False,Cacophis kreftii,5,4,0.0001,"(32,)",0.01,103,4,0.10088001905836344,0.9393939393939394,0.47435897435897434,0.030541892826183407,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,5,5,0.0001,"(32,)",0.01,102,3,0.10092299864689024,0.9023569023569024,0.16715686274509803,0.0274367540179398,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,6,1,0.0001,"(32,)",0.001,103,3,0.09225829353243606,0.9366666666666666,0.32440476190476186,0.025250961825859935,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,6,2,0.0001,"(32,)",0.001,103,3,0.0984794709693356,0.8966666666666667,0.15728715728715728,0.026920595548362115,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,6,3,0.0001,"(32,)",0.001,102,3,0.14801891229791714,0.6363636363636364,0.05370843989769821,0.032426532891084416,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,6,4,0.0001,"(32,)",0.001,103,4,0.13765822779300288,0.8535353535353535,0.18561066126855602,0.036162812122891616,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,6,5,0.0001,"(32,)",0.001,102,3,0.10540981425584267,0.8855218855218855,0.1577639751552795,0.027852389771932003,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,7,1,0.0001,"(16, 8)",0.01,103,3,0.08557077794034741,0.9566666666666667,0.5714285714285714,0.022185045236902207,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,7,2,0.0001,"(16, 8)",0.01,103,3,0.22287035376934886,0.8166666666666667,0.09601139601139602,0.04063714924528503,0.0,0.0,0.97
MLP_single_no_coords,random,False,Cacophis kreftii,7,3,0.0001,"(16, 8)",0.01,102,3,0.23557888474003372,0.7845117845117845,0.09488795518207283,0.036241765928629044,0.0,0.0,0.98989898989899
MLP_single_no_coords,random,False,Cacophis kreftii,7,4,0.0001,"(16, 8)",0.01,103,4,0.1345662054622945,0.8964646464646465,0.31495037220843675,0.033391415143839254,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,7,5,0.0001,"(16, 8)",0.01,102,3,0.09864331725674969,0.9225589225589226,0.2207282913165266,0.027146475100426313,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,8,1,0.0001,"(16, 8)",0.001,103,3,0.0880611873396033,0.94,0.5032679738562091,0.023958359351311888,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,8,2,0.0001,"(16, 8)",0.001,103,3,0.10939582826631758,0.8666666666666667,0.13095238095238096,0.02855225545846661,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,8,3,0.0001,"(16, 8)",0.001,102,3,0.16534950497254366,0.6430976430976431,0.05632281898266553,0.03407778431386407,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,8,4,0.0001,"(16, 8)",0.001,103,4,0.127534428391042,0.8636363636363636,0.15192307692307694,0.03498984223837879,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,8,5,0.0001,"(16, 8)",0.001,102,3,0.0858040595877932,0.9595959595959597,0.3277777777777778,0.024741374219237177,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,9,1,0.001,"(8,)",0.01,103,3,0.09014378812643499,0.9500000000000001,0.35470085470085466,0.025386213918175717,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,9,2,0.001,"(8,)",0.01,103,3,0.09918408315192687,0.91,0.2,0.02897922178274833,0.0,0.0,0.99
MLP_single_no_coords,random,False,Cacophis kreftii,9,3,0.001,"(8,)",0.01,102,3,0.17722497374275045,0.771043771043771,0.07816627816627816,0.04039286465520214,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,9,4,0.001,"(8,)",0.01,103,4,0.1432136694409662,0.898989898989899,0.2629681174089069,0.03638972232752065,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,9,5,0.001,"(8,)",0.01,102,3,0.07707672307542947,0.9595959595959596,0.34444444444444444,0.023781138413819264,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,10,1,0.001,"(8,)",0.001,103,3,0.09572004555063243,0.9233333333333332,0.24707602339181284,0.025367881092022298,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,10,2,0.001,"(8,)",0.001,103,3,0.10321739135963116,0.8833333333333334,0.25181159420289856,0.026653808916173936,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,10,3,0.001,"(8,)",0.001,102,3,0.15170271536213334,0.6599326599326599,0.07502768549280177,0.0318595195538741,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,10,4,0.001,"(8,)",0.001,103,4,0.14671772229416002,0.8333333333333334,0.15524509803921568,0.036620810443559304,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,10,5,0.001,"(8,)",0.001,102,3,0.11053134118972928,0.8922558922558922,0.16378066378066378,0.029686225332796273,0.0,0.0,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,11,1,0.001,"(16,)",0.01,103,3,0.09865572579590366,0.93,0.3032407407407407,0.025091887594874726,0.0,0.0,1.0
