model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_with_coords,random,True,1,1,0.0001,"(8,)",0.01,824,51,0.15686010224163113,0.902544200086244,0.41422101331047656,0.044152623661290635,0.3684210526315789,0.27450980392156865,0.9857697283311773
MLP_multi_with_coords,random,True,1,2,0.0001,"(8,)",0.01,824,51,0.21443264223405611,0.85112751439515,0.3569726881154359,0.05079694994632148,0.36585365853658536,0.29411764705882354,0.9793014230271668
MLP_multi_with_coords,random,True,1,3,0.0001,"(8,)",0.01,824,53,0.15373223785260753,0.911704965372097,0.49244746063971545,0.044274041489802136,0.39473684210526316,0.2830188679245283,0.9896238651102465
MLP_multi_with_coords,random,True,1,4,0.0001,"(8,)",0.01,816,48,0.14035500287301325,0.9257269965277778,0.4651775978848857,0.04148137143204716,0.40963855421686746,0.3541666666666667,0.9765625
MLP_multi_with_coords,random,True,1,5,0.0001,"(8,)",0.01,816,48,0.1704091140567545,0.8843451605902778,0.4440286365109094,0.04338884592366814,0.37333333333333335,0.2916666666666667,0.9830729166666666
MLP_multi_with_coords,random,True,2,1,0.0001,"(8,)",0.001,824,51,0.1601827849867876,0.8879841716764325,0.4366871036139451,0.04336808114290153,0.29850746268656714,0.19607843137254902,0.9922380336351876
MLP_multi_with_coords,random,True,2,2,0.0001,"(8,)",0.001,824,51,0.19382259561553136,0.8386221241407301,0.3245444784259665,0.04918068776844492,0.2608695652173913,0.17647058823529413,0.9883570504527813
MLP_multi_with_coords,random,True,2,3,0.0001,"(8,)",0.001,824,53,0.1703729792369277,0.8804297286053399,0.42016735727104737,0.047305609501106405,0.18461538461538463,0.11320754716981132,0.9922178988326849
MLP_multi_with_coords,random,True,2,4,0.0001,"(8,)",0.001,816,48,0.15209140725220874,0.9115939670138887,0.36397768389209584,0.0435432336573946,0.10526315789473684,0.0625,0.9921875
MLP_multi_with_coords,random,True,2,5,0.0001,"(8,)",0.001,816,48,0.15339996433041334,0.8857150607638888,0.47185494289165314,0.041395885017322255,0.3125,0.20833333333333334,0.9921875
MLP_multi_with_coords,random,True,3,1,0.0001,"(16,)",0.01,824,51,0.17137216874103078,0.8863353879714887,0.4600360131787927,0.04311422338567365,0.425,0.3333333333333333,0.9844760672703752
MLP_multi_with_coords,random,True,3,2,0.0001,"(16,)",0.01,824,51,0.24002522188800166,0.8362377292443497,0.3140634166786499,0.05607731833162329,0.3448275862068966,0.29411764705882354,0.9728331177231565
MLP_multi_with_coords,random,True,3,3,0.0001,"(16,)",0.01,824,53,0.18747781566343813,0.9032865917822969,0.374052697714815,0.05365220823595769,0.3617021276595745,0.32075471698113206,0.9688715953307393
MLP_multi_with_coords,random,True,3,4,0.0001,"(16,)",0.01,816,48,0.16141726731691075,0.9126247829861112,0.35372799570302826,0.048348363942059804,0.32608695652173914,0.3125,0.9622395833333334
MLP_multi_with_coords,random,True,3,5,0.0001,"(16,)",0.01,816,48,0.17557951706648084,0.8836263020833334,0.44771941647729363,0.044569171057465856,0.32432432432432434,0.25,0.9817708333333334
MLP_multi_with_coords,random,True,4,1,0.0001,"(16,)",0.001,824,51,0.15833535256749126,0.8924739365345102,0.4780108962772131,0.04307300487511192,0.42105263157894735,0.3137254901960784,0.9883570504527813
MLP_multi_with_coords,random,True,4,2,0.0001,"(16,)",0.001,824,51,0.18762686641347198,0.8574182583770895,0.3427699348943096,0.048650549864342627,0.3076923076923077,0.23529411764705882,0.9805950840879689
