model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_no_coords,random,False,1,1,0.0001,"(8,)",0.01,824,52,0.1736484329209623,0.8730445396572339,0.3874010944382596,0.048198436382614826,0.379746835443038,0.28846153846153844,0.9844559585492227
MLP_multi_no_coords,random,False,1,2,0.0001,"(8,)",0.01,824,52,0.17825856312845526,0.879732961339179,0.3561374359630355,0.050471306476019474,0.208955223880597,0.1346153846153846,0.9896373056994818
MLP_multi_no_coords,random,False,1,3,0.0001,"(8,)",0.01,824,50,0.16932434330903004,0.871937984496124,0.3567683562731086,0.046112151191622174,0.2777777777777778,0.2,0.9844961240310077
MLP_multi_no_coords,random,False,1,4,0.0001,"(8,)",0.01,816,49,0.17171076425987686,0.8790809674586914,0.32450612754668784,0.047561766780153045,0.16393442622950818,0.10204081632653061,0.9908735332464146
MLP_multi_no_coords,random,False,1,5,0.0001,"(8,)",0.01,816,48,0.17272455466352818,0.8597276475694444,0.34285091238845006,0.04710929301783569,0.3013698630136986,0.22916666666666666,0.9817708333333334
MLP_multi_no_coords,random,False,2,1,0.0001,"(8,)",0.001,824,52,0.17207698516003758,0.8597050617776006,0.4100821940315295,0.04655142575405246,0.13559322033898305,0.07692307692307693,0.9961139896373057
MLP_multi_no_coords,random,False,2,2,0.0001,"(8,)",0.001,824,52,0.17485609276794076,0.867626544440016,0.3612873592363685,0.04833409048988987,0.19047619047619047,0.11538461538461539,0.9935233160621761
MLP_multi_no_coords,random,False,2,3,0.0001,"(8,)",0.001,824,50,0.17016583544613748,0.8621963824289406,0.4045422919867508,0.045159601000418624,0.1724137931034483,0.1,0.9961240310077519
MLP_multi_no_coords,random,False,2,4,0.0001,"(8,)",0.001,816,49,0.15672930808172375,0.894393741851369,0.41303050000858743,0.043111186715730575,0.19047619047619047,0.12244897959183673,0.9895697522816167
MLP_multi_no_coords,random,False,2,5,0.0001,"(8,)",0.001,816,48,0.1724329517875865,0.8696017795138888,0.2885310596867958,0.049848453186566034,0.1875,0.125,0.9869791666666666
